Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Bojongloa Kaler;Babakan Asih;27 Maret 2020;Jl. Kopo Gg. Sukaleur RT 07 RW 02 ;Kepulan Asap dari Lantai Rumah;Masih Dalam Penyelidikan;261000185;1
Arcamanik;Cisaranten Kulon;28 Maret 2020;Jl. Soekarno Hatta (Depan Apartement Panoramic);Sebuah Kendaraan Roda 2 (Honda Beat);Kebocoran Selang Bensin;-;-
Ujungberung;Pasir Endah;29 Maret 2020;Jl. Taruna 3 No. 79 RT 08 RW 02;Sebuah Rumah;Masih Dalam Penyelidikan;1890000000;80
Batununggal;Cibangkong;30 Maret 2020;Jl. Cinta Asih Utara RT 07 RW 12;Penanganan  Kebocoran Tabung Gas ; Kebocoran Tabung Gas ;300000000;-
Andir;Campaka;31 Maret 2020;SMA Pelita Nusantara Jl. Paledang No. 297A RT 05 RW 02;Tumpukan Dus Dilantai 2;Diduga Dari Pembakaran Dus;500000000;2
Andir;Ciroyom;06 Maret 2021;Jl. Rajawali Timur (Depan Mesjid Al-Hidayah) ;Sebuah Kendaraan Roda 4 Sedan Timor (D 129X UH);Masih Dalam Penyelidikan;-;-
Kiaracondong;Babakan Surabaya;06 Maret 2021;Jl. Ibrahim Adjie Gg. Simpang RT 06/07;Sebuah Rumah Semi Permanen;Masih Dalam Penyelidikan;278400000;-
Lengkong;Cijagra;13 Maret 2021;Jl. Cijagra 1 Gg. II RT 06 RW 02;Sebuah Rumah Warga;Percikan Dari Korek Api;900000000;24
Babakan Ciparay;Margahayu Utara;14 April 2020;Jl. Kasturi C4 No. 5 (Komplek Pasadena) RT 05 RW 11;Sebuah Kamar Rumah 2 Lantai;Korsleting Listrik;928000000;9
Babakan Ciparay;Margahayu Utara;15 April 2020;Jl. Terusan Cibolerang No. 178 Blok AI;Gudang Besi Baja (Bangunan material kayu);Masih Dalam Penyelidikan;500000000;3
Mandalajati;Pasir Impun;15 April 2020;Jl. Pasir Impun Gg. Mesjid Al-Musyawarah RT 02 RW 03;Sebuah Kamar Rumah 2 Lantai;Masih Dalam Penyelidikan;300000000;12
Sukasari;Sukarasa;2 April 2020;Jl. Setrasari Indah No. 19A RT 05 RW 02;Gudang dan Bengkel Mebel;Masih Dalam Penyelidikan;7700000000;120
Bojongloa Kidul;Situsaeur;20 April 2020;Jl. Nyengseret No. 509 RT 03 RW 04;Sebuah Rumah;Masih Dalam Penyelidikan;367500000;6
Babakan Ciparay;Babakan Ciparay;22 April 2020;Jl. Pasadena 177A RT 02 RW 03;Sebuah Bengkel Motor;Masih Dalam Penyelidikan;1185000000;18
Arcamanik;Cisaranten Bina Harapan;23 April 2020;Jl. Cicukang No. 20 RT 04 RW 08;Gas Bocor;Kebocoran Tabung Gas;-;-
Mandalajati;Jatihandap;26 April 2020;Jl. Jati Handap Gg. H. Saodah  No. 153 RT 04 RW 06;Sebuah Rumah Warga;Masih Dalam Penyelidikan;1543500000;120
Lengkong;Cikawao;27 April 2020;Jl. Melong Kidul No. 33 RT . 04 RW 02;Sebuah Rumah Kosong;Masih Dalam Penyelidikan;100000000;50
